Gene symbol	Compartment
KCNG1	I
PTPRU	I
LIMCH1	I
PRKCQ	I
TRIB2	I
FGFR1	I
OXCT1	I
SLC6A12	I
UST	I
MDGA1	I
SLC16A10	I
SLC4A3	I
CHST10	I
SPP1	I
TOX2	I
NRN1	I
AIF1L	I
APOBEC3F	I
OLFM1	I
ZBTB46	I
GFPT2	I
RAMP1	I
RSAD2	I
CMPK2	I
FRMD6	I
TTYH2	I
SLC2A5	I
OSR1	I
ATP10D	I
PLK2	I
SSBP2	I
YIPF5	I
FAM124A	I
DIP2C	I
RNF144A	I
SACS	I
UBASH3B	I
FAM167A	I
ZNF618	I
LRRC3	I
FBXO27	I
DMKN	I
SLC16A14	I
ADORA1	I
ADAMTS9	I
PPM1K	I
EBF1	I
HTR3A	I
ACSM1	I
ABCA3	I
KCND3	I
ABLIM3	I
RNF152	I
LY6H	I
FZD2	I
RBM43	I
SBK1	I
C5orf51	I
NPTXR	I
APOBEC3D	I
ETV5	I
ETV1	B
EHD3	B
AGPAT4	B
CNTLN	B
HHAT	B
CDK14	B
RIMBP2	B
CDON	B
NTN1	B
FGFR2	B
ABCC9	B
NUAK1	B
ZNF37A	B
GPR137B	B
SLC1A3	B
NOS1	B
FMO2	B
PCSK5	B
TTC28	B
HOMER2	B
TRPS1	B
ZNF85	B
GLI3	B
GLIS3	B
C7	B
EPHA4	B
PRRX1	B
AKT3	B
ALG2	B
KIAA1217	B
TRIM6	B
BICC1	B
EGR2	B
HS3ST3B1	B
ARHGAP22	B
DPP6	B
ZNF331	B
MEIS2	B
FAM189A2	B
ARHGEF4	B
TMEM132B	B
RTN1	B
CPO	B
NFIB	B
GUCY1A2	B
STK32B	B
ABCA9	B
DISP1	B
PTPRN2	B
TIAM1	B
CD109	B
DZIP1L	B
STC1	B
BEND5	B
HECTD2	B
CDYL2	B
RIMKLB	B
SGSM1	B
FAM110B	B
GP2	B
TANC2	B
PYGO1	B
SCG2	B
ARNT2	B
BNC2	B
SOX11	B
CA8	B
TSHZ2	B
NTM	B
PLCXD3	B
CCBE1	B
MEX3B	B
PRKD1	B
ZNF93	B
FAM174B	B
ROR1	B
KCNIP4	B
MITF	B
LYPD6	B
FAM78B	B
ZNF682	B
VEPH1	B
LPAR1	B
ZDBF2	B
ZNF254	B
